symbol,date
MCFE,2021-12-25
6023.T,2023-03-31
OFSTF,2022-06-30
ALM.MC,2022-12-31
0286.HK,2022-12-31
TOI.V,2022-12-31
VS,2022-12-31
GGAZF,2022-12-31
IQE.L,2022-12-31
ENC.MC,2022-12-31
GEN.AX,2022-12-31
PIMO.BK,2022-12-31
ABBA.JK,2022-12-31
NSR.TO,2021-12-31
TCS.IL,2022-12-31
6250.T,2022-12-31
PPL.TO,2022-12-31
9928.HK,2022-12-31
SMFL,2022-12-31
MAV.ST,2022-12-31
IDIA.SW,2022-12-31
1395.HK,2022-12-31
FSNT.DE,2022-12-31
USIM5.SA,2022-12-31
0076.HK,2022-12-31
PFE.AX,2022-06-30
6362.T,2023-03-31
1145.HK,2021-12-31
000711.SZ,2022-12-31
KEY.TO,2022-12-31
LIQD.NE,2022-05-31
603585.SS,2022-12-31
UAC.BK,2022-12-31
2207.TW,2022-12-31
CSPI,2022-09-30
VONN.SW,2022-12-31
LPG,2023-03-31
FURY,2022-12-31
CANOF,2023-02-28
ADW.JO,2023-02-28
CMRF,2022-12-31
1419.TW,2022-12-31
NFTX.NE,2022-07-31
ALG.DE,2022-12-31
3180.T,2023-04-30
THVB,2022-12-31
FDP,2022-12-30
BRKS,2021-09-30
6878.HK,2022-12-31
300615.SZ,2022-12-31
REKR,2022-12-31
BGRENERGY.NS,2023-03-31
000919.SZ,2022-12-31
000537.SZ,2022-12-31
ALLO,2022-12-31
BBDC,2022-12-31
MLPT.JK,2022-12-31
ALHEX.PA,2022-12-31
KSN.AX,2023-06-30
DNLM.L,2022-06-30
INWI.ST,2022-12-31
688015.SS,2022-12-31
9130.T,2023-03-31
BAS.AX,2022-12-31
BPO-PI.TO,2015-12-31
8045.HK,2022-12-31
KNOS.L,2023-03-31
VCTR.TA,2022-12-31
605016.SS,2022-12-31
MOB.ST,2022-12-31
002887.SZ,2022-12-31
1858.HK,2022-12-31
600985.SS,2022-12-31
SVIK.ST,2022-12-31
