symbol,date
1183.HK,2022-12-31
RBW.L,2023-06-30
GENTF,2022-12-31
GLOB,2022-12-31
REE,2022-12-31
M8G.ST,2022-12-31
HNNMY,2022-11-30
SGML.V,2022-12-31
FCSS.L,2023-03-31
GLNG,2022-12-31
TEZNY,2022-12-31
HOEGF,2022-12-31
4010.SR,2022-12-31
TOMDF,2021-12-31
KHOTF,2022-12-31
NNOX,2022-12-31
GELYY,2022-12-31
SEOAY,2022-12-31
KMD.AX,2023-07-31
TGLS,2023-09-30
POAHY,2022-12-31
SASA.IS,2022-12-31
SRE.L,2023-03-31
IGEX,2017-07-31
BAC,2022-12-31
CYBR,2022-12-31
DAL,2023-09-30
AFMD,2022-12-31
VEOEY,2022-12-31
SMX,2022-12-31
BOIVF,2022-12-31
PERI,2022-12-31
BGTG.JK,2022-12-31
NMRK,2022-12-31
DSWL,2023-03-31
MIGI,2022-12-31
AI,2023-04-30
SCHYY,2022-12-31
D,2022-12-31
FBU.AX,2023-06-30
EWBC,2022-12-31
ADCT,2022-12-31
THQQF,2023-03-31
UAA,2023-03-31
SIMINN.IC,2022-12-31
CTM.ST,2022-12-31
PRTH,2022-12-31
NGCRF,2022-12-31
ARCO,2022-12-31
DHBK.QA,2022-12-31
CHTR,2022-12-31
SHIP,2022-12-31
MRDS.QA,2022-12-31
ANSGR.IS,2022-12-31
USEA,2022-12-31
WHGLY,2022-12-31
MX,2022-12-31
QIIK.QA,2022-12-31
GXYEF,2022-12-31
TKAT,2022-12-31
KRR.TO,2022-12-31
HGKGY,2022-12-31
DNNGY,2022-12-31
TRP.TO,2022-12-31
2190.SR,2022-12-31
ENELAM.SN,2022-12-31
2266.HK,2022-12-31
GNTX,2022-12-31
SIEGY,2022-09-30
HEPS,2022-12-31
SKBSY,2022-12-31
BMWYY,2022-12-31
MRVI,2022-12-31
STAR.L,2022-12-31
MYNZ,2022-12-31
SHW,2022-12-31
AMBP,2022-12-31
NCLTY,2022-02-28
RWLK,2022-12-31
1180.SR,2022-12-31
AHCS.QA,2022-12-31
WMT,2023-01-31
CVHSY,2022-12-31
0486.HK,2022-12-31
TLSNY,2022-12-31
FRHC,2023-03-31
SIIS.QA,2022-12-31
WTW,2022-12-31
HUBC,2021-12-31
NKRKY,2022-12-31
DFM.AE,2022-12-31
BOC.AX,2022-12-31
CTTAY,2022-12-31
AXS,2022-12-31
HAMP.IC,2022-12-31
CMTOY,2022-12-31
ALIMO.PA,2012-12-31
MARA,2022-12-31
GEM.L,2022-12-31
YNDX,2022-12-31
IMCC,2022-12-31
SHLLF,2022-12-31
DNKEY,2022-12-31
RAI.L,2022-12-31
CGEMY,2022-12-31
BNOX,2023-06-30
LIQT,2022-12-31
AKHI.QA,2022-12-31
KVIKA.IC,2022-12-31
ITJTY,2022-12-31
RWEOY,2022-12-31
1832.SR,2022-12-31
QNCD.QA,2022-12-31
0O7A.IL,2022-12-31
PD.TO,2022-12-31
IONR,2023-06-30
ACLLY,2022-12-31
FDUS,2022-12-31
BNRG,2022-12-31
OCG,2022-12-31
ENKAI.IS,2022-12-31
AGBA,2022-12-31
ASMVY,2022-12-31
EMG.L,2022-12-31
G,2022-12-31
IDEXY,2023-01-31
GNE.AX,2023-06-30
STN.TO,2022-12-31
GNNDY,2022-12-31
PWM,2022-09-30
MEGL,2022-12-31
QIBK.QA,2022-12-31
PMTYF,2022-12-31
WKME,2022-12-31
GILT,2022-12-31
AEXAY,2022-12-31
OEC,2022-12-31
1150.SR,2022-12-31
HDELY,2022-12-31
AWIN,2021-12-31
RDEIY,2022-12-31
BDRFY,2022-12-31
NTCT,2023-03-31
PAAS,2022-12-31
HSNGY,2022-12-31
EVO.AX,2022-12-31
TIG.AX,2022-12-31
ENTX,2022-12-31
2282.HK,2022-12-31
MLZAM.PA,2022-12-31
EONGY,2022-12-31
NRDBY,2022-12-31
PRME,2022-12-31
SEDG,2022-12-31
SLF,2022-12-31
SLGL,2022-12-31
LRLCY,2022-12-31
TDH.JO,2023-02-28
TBIRD.AS,2022-12-31
PSHG,2022-12-31
SPRC,2022-12-31
SONVY,2023-03-31
1020.SR,2022-12-31
LILAK,2022-12-31
ERES.QA,2022-12-31
GRMN,2022-12-31
QNBK.QA,2022-12-31
TJX,2023-01-28
NVZMY,2022-12-31
PPRUY,2022-12-31
GTX,2022-12-31
SVRE,2022-12-31
ASAZY,2022-12-31
VSL.AX,2023-06-30
UDCD.QA,2022-12-31
LSXMK,2022-12-31
CS.ST,2022-12-31
PGEJF,2022-12-31
PTAIY,2022-12-31
RBA,2022-12-31
HENOY,2022-12-31
T,2022-12-31
CLPBY,2023-09-30
TOP,2023-03-31
NHYDY,2022-12-31
4013.SR,2022-12-31
KCHOL.IS,2022-12-31
FNV.TO,2022-12-31
CLLNY,2022-12-31
900140.KS,2022-12-31
HLTOY,2022-12-31
MU,2023-08-31
CZMWY,2022-09-30
NYCB,2022-12-31
XP,2022-12-31
HCMLY,2022-12-31
CRON.TO,2022-12-31
DANOY,2022-12-31
MOB,2022-12-31
INOD,2022-12-31
ON,2022-12-31
LSCC,2022-12-31
DESP,2022-12-31
SUHJY,2023-06-30
BVIC.JK,2022-12-31
HXGBY,2022-12-31
ATM.L,2023-02-28
YARIY,2022-12-31
CIADY,2022-12-31
PTXKY,2022-12-31
SGHC,2022-12-31
TEL,2023-09-29
SNMRY,2022-12-31
VRDR,2023-06-30
DM,2022-12-31
OLGERD.IC,2023-02-28
LEK.L,2020-12-31
PSPW,2017-03-31
STVN,2022-12-31
SCGLY,2022-12-31
BSSR.JK,2022-12-31
ROSB.ME,2020-12-31
GPRK,2022-12-31
