symbol,date
GUL.AX,2023-06-30
000672.SZ,2022-12-31
JBFCY,2022-12-31
7442.T,2023-03-31
ALP.PA,2020-12-31
BAJAJCON.NS,2023-03-31
MAKAF,2022-12-31
CMNT.JK,2022-12-31
0FM2.L,2023-04-30
L2S.ST,2022-12-31
JDO.AX,2022-06-30
DIAPOWER.NS,2023-03-31
GBAR.TO,2022-06-30
VOLCAR-B.ST,2022-12-31
UTZ,2023-01-01
KRYAF,2022-12-31
600802.SS,2022-12-31
0R8F.L,2022-12-31
FIXP.IL,2022-12-31
LBTI,2021-12-31
CLVT-PA,2022-12-31
SNLAY,2022-06-30
APPS,2023-03-31
PTHRF,2022-06-30
0050.HK,2022-12-31
NIM.AX,2022-06-30
PVL.PA,2022-09-30
TTI,2022-12-31
YKBNK.IS,2022-12-31
002976.SZ,2022-12-31
NA.TO,2022-10-31
BIOSW,2022-12-31
CSED3.SA,2022-12-31
OTS.OL,2022-12-31
BVS,2022-12-31
NDVNQ,2021-12-31
MHID.IL,2023-03-31
CNGLU,2022-12-31
CCX.AX,2023-06-30
300800.SZ,2022-12-31
002459.SZ,2022-12-31
HIGA,2021-12-31
GORIF,2022-06-30
FINEORG.NS,2023-03-31
600310.SS,2022-12-31
IFF,2022-12-31
2705.TW,2022-12-31
600107.SS,2022-12-31
1AD.AX,2023-06-30
TSF.CN,2021-12-31
002114.SZ,2022-12-31
NAACU,2021-12-31
NOGN,2022-12-31
CRC.CN,2023-06-30
CLVR,2022-12-31
CFG,2022-12-31
LBBBU,2022-12-31
4423.T,2023-03-31
300424.SZ,2022-12-31
CIO,2022-12-31
ACH.OL,2022-12-31
SPNV-UN,2020-12-31
AMPLI.PA,2023-06-30
LHYFE.PA,2022-12-31
HUSCO.CO,2022-12-31
ABM,2022-10-31
0432.HK,2022-12-31
REPL,2023-03-31
DOF.OL,2022-12-31
600941.SS,2022-12-31
MUM.DE,2022-12-31
DRS,2022-12-31
002272.SZ,2022-12-31
8092.HK,2023-03-31
TVRB.PA,2022-10-31
ALMY.AT,2022-12-31
TATASTEEL.NS,2023-03-31
CBGL,2021-08-31
PFHO,2022-12-31
AMRQ.V,2022-12-31
KCR.HE,2022-12-31
RBX.AX,2023-06-30
TVTX,2022-12-31
RBT.PA,2022-12-31
BKUH,2022-07-31
SWRBY,2022-12-31
IIKP.JK,2022-12-31
CRVL,2023-03-31
CMM.AX,2023-06-30
FRRVY,2022-12-31
GBLX,2023-03-31
002624.SZ,2022-12-31
VHI.TO,2022-12-31
7596.T,2023-03-31
6202.TW,2022-12-31
601118.SS,2022-12-31
B28.SI,2022-12-31
EFLVF,2022-09-30
601328.SS,2022-12-31
NWL.AX,2023-06-30
O5H.DE,2019-12-31
STEP.TO,2022-12-31
ULE.L,2021-12-31
MURGF,2022-12-31
CRL.MI,2022-12-31
EFXT,2022-12-31
HNGR,2021-12-31
688085.SS,2022-12-31
SALSTEEL.NS,2023-03-31
CCO.TO,2022-12-31
0HOU.L,2022-12-31
4446.T,2023-07-31
TBN.AX,2022-06-30
HMCO,2021-12-31
AETLF,2023-06-30
HORI,2021-12-31
688787.SS,2022-12-31
1908.HK,2022-12-31
TIT.MI,2022-12-31
600755.SS,2022-12-31
2809.TW,2022-12-31
IAU.TO,2022-12-31
TMAS.JK,2022-12-31
603268.SS,2022-12-31
033270.KS,2022-12-31
BBN.AX,2023-06-30
WELINV.NS,2023-03-31
1637.HK,2023-03-31
BJC.BK,2022-12-31
GSAC,2008-12-31
WRTBF,2022-12-31
EKTR3.SA,2022-12-31
ORBC,2020-12-31
TAR.AX,2023-06-30
8472.HK,2022-12-31
ORE.TO,2022-12-31
3883.HK,2022-12-31
AUSOMENT.NS,2023-03-31
DRCT,2022-12-31
EML.AX,2023-06-30
ALPCV.PA,2021-12-31
003540.KS,2022-12-31
9147.T,2022-12-31
FPE.DE,2022-12-31
GRSL.V,2022-12-31
OMK.SI,2023-03-31
SBNYP,2022-12-31
2185.T,2022-09-30
4307.T,2023-03-31
004100.KS,2022-12-31
RRIF,2020-12-31
DTP,2022-12-31
SWPFF,2022-12-31
KAU.AX,2022-06-30
SOLV.BR,2022-12-31
AAEV.L,2023-03-31
KEY.TO,2022-12-31
SBCF,2022-12-31
0LHO.L,2023-06-30
2349.TW,2022-12-31
LIGT3.SA,2022-12-31
ODA.AX,2023-06-30
NCK.AX,2023-06-30
PCLB,2006-12-31
HDW-B.ST,2022-12-31
4324.T,2022-12-31
KORE.V,2022-12-31
HYSR,2023-06-30
WRI,2020-12-31
ALCOI.PA,2022-12-31
EYE,2022-12-31
BBD-PC.TO,2022-12-31
AMROF,2022-06-30
SGMD.V,2022-02-28
FMFP,2012-12-31
3994.T,2022-11-30
UMS.BK,2022-12-31
002129.SZ,2022-12-31
CALN.SW,2022-12-31
GTXAP,2022-12-31
JAST.JK,2021-12-31
8769.T,2023-03-31
HYACU,2021-12-31
MTX.V,2022-04-30
WYGPY,2023-06-30
VECT,2022-12-31
7984.T,2022-12-31
TRRSF,2022-12-31
NHBAF,2023-03-31
600128.SS,2022-12-31
600111.SS,2022-12-31
BUR.PA,2022-12-31
USCU.V,2022-12-31
SGRO.L,2022-12-31
GSV.TO,2021-12-31
SNGSP.ME,2020-12-31
VIB3.DE,2022-12-31
ORIGO.IC,2022-12-31
ACTL,2016-01-31
NSB.AX,2023-06-30
VHI,2022-12-31
KE,2023-06-30
AVV.L,2022-03-31
301207.SZ,2022-12-31
DAF.AX,2023-06-30
PKD.AX,2023-06-30
CSCMY,2022-12-31
MKUL,2022-12-31
PONNIERODE.NS,2023-03-31
0JPH.L,2022-12-31
08N.WA,2022-12-31
ELMGF,2022-08-31
IGDFF,2023-03-31
ALCRB.PA,2022-12-31
BRD-UN,2022-12-31
002851.SZ,2022-12-31
SFFFF,2022-12-31
INDX.JK,2022-12-31
6160.HK,2022-12-31
0JDB.L,2022-12-31
CLA.PA,2023-06-30
009320.KS,2022-12-31
600868.SS,2022-12-31
603916.SS,2022-12-31
4202.T,2023-03-31
9450.T,2023-06-30
004380.KS,2022-12-31
TEG.DE,2022-12-31
BDX.SW,2022-09-30
8097.T,2023-03-31
0R19.L,2023-09-30
ICON.L,2023-06-30
KSIOF,2022-12-31
BICEF,2022-12-31
ABI.V,2022-06-30
TDHOY,2023-03-31
6323.T,2023-02-28
PETZ,2022-12-31
WGMCF,2021-12-31
3636.HK,2022-12-31
BELFB,2022-12-31
PRIC-B.ST,2022-12-31
300567.SZ,2022-12-31
1020.HK,2022-12-31
STE.V,2022-07-31
WSKT.JK,2022-12-31
605398.SS,2022-12-31
SAVOS.ST,2022-12-31
CARL-A.CO,2022-12-31
CCV.AX,2023-06-30
OEC,2022-12-31
1729.HK,2023-03-31
BOCH.L,2022-12-31
007160.KS,2022-12-31
XIM.V,2022-06-30
ALD.NZ,2022-12-31
VANQ.L,2022-12-31
TJX,2023-01-28
0093.HK,2022-12-31
HEX.OL,2022-12-31
TNGL,2022-12-31
EDEN.PA,2022-12-31
DIMET.BK,2022-12-31
603042.SS,2022-12-31
JMACW,2022-12-31
INTEU,2022-12-31
1313.HK,2022-12-31
4008.SR,2022-12-31
GBMO.MX,2022-12-31
300044.SZ,2022-12-31
ALK.MI,2022-12-31
7240.T,2023-03-31
SPB,2023-09-30
BOIL.L,2022-12-31
688127.SS,2022-12-31
ISIG,2022-12-31
TSP,2022-12-31
EMMRF,2023-06-30
SCU,2022-12-31
JMPLF,2023-03-31
3486.T,2022-12-31
1666.HK,2022-12-31
069460.KS,2022-12-31
PAT.TO,2022-07-31
6790.TW,2022-12-31
