symbol,date
HSNGY,2022-12-31
RIVER.OL,2022-12-31
AN,2022-12-31
QFLS.QA,2022-12-31
TEL,2022-09-30
SGML.V,2022-12-31
RIG,2022-12-31
CSLLY,2023-06-30
1180.SR,2022-12-31
RYR.V,2022-12-31
HENKY,2022-12-31
ALMER.PA,2022-12-31
BOUYY,2022-12-31
LILAK,2022-12-31
NIND.KW,2022-12-31
WIZZ.L,2023-03-31
FPAFY,2022-12-31
RAI.L,2022-12-31
EVGN,2022-12-31
HLN,2022-12-31
DDI,2022-12-31
ALSMY,2023-03-31
DM,2022-12-31
SSU,2022-09-30
GPH.L,2023-03-31
ESEA,2022-12-31
JGLCF,2022-12-31
AMD,2022-12-31
CCEP,2022-12-31
LRLCY,2022-12-31
CCCP,2022-12-31
4013.SR,2022-12-31
CBQK.QA,2022-12-31
JTC.L,2022-12-31
SPRC,2022-12-31
CRM,2023-01-31
NGMS,2022-12-31
AGBA,2022-12-31
LVMUY,2022-12-31
ACGL,2022-12-31
MRVL,2023-01-28
YCA.L,2023-03-31
SCGLY,2022-12-31
ELTK,2022-12-31
ORKLY,2022-12-31
TEZNY,2022-12-31
CHTR,2022-12-31
BKRKY,2022-12-31
PXS,2022-12-31
AKO-B,2022-12-31
2280.SR,2022-12-31
BYNO,2022-12-31
DNKEY,2022-12-31
SIG,2023-01-28
FTCH,2022-12-31
TUPRS.IS,2022-12-31
PAAS,2022-12-31
FREY,2022-12-31
WAVE,2022-12-31
BHC,2022-12-31
OLLI,2023-01-28
INOD,2022-12-31
AFISH.OL,2022-12-31
HTCR,2022-12-31
IFRX,2022-12-31
KIND-SDB.ST,2022-12-31
RY.TO,2022-10-31
INMD,2022-12-31
AVHOQ,2020-12-31
IMPP,2022-12-31
PERF,2022-12-31
SMPL,2022-08-27
CHRYY,2023-06-30
VWSYF,2022-12-31
SPNS,2022-12-31
SCTC,2022-12-31
SGSOY,2022-12-31
NAT,2022-12-31
QIBK.QA,2022-12-31
LIDR,2022-12-31
AMCR,2023-06-30
CHKP,2022-12-31
CSCO,2023-07-29
ACLLY,2022-12-31
AIA.AX,2023-06-30
TLSNY,2022-12-31
SPCB,2022-12-31
QNCD.QA,2022-12-31
RWEOY,2022-12-31
VLEEY,2022-12-31
GELYY,2022-12-31
TLTZY,2022-12-31
DSX,2022-12-31
BYFM.CN,2023-01-31
M8G.ST,2022-12-31
AGRO,2022-12-31
TSEM,2022-12-31
AZUL,2022-12-31
KHOTF,2022-12-31
ACROUD.ST,2022-12-31
RTGZ.ME,2022-12-31
GOOS.TO,2023-03-31
MBGYY,2022-12-31
MHGVY,2022-12-31
ASKH,2018-12-31
888.L,2022-12-31
STGO.TO,2022-12-31
STKH,2022-12-31
SIIS.QA,2022-12-31
EFN.TO,2022-12-31
MLZAM.PA,2022-12-31
CAMT,2022-12-31
BIP-UN.TO,2022-12-31
PTXKY,2022-12-31
GASS,2022-12-31
6015.SR,2022-12-31
BSSR.JK,2022-12-31
RNLSY,2022-12-31
KBCSY,2022-12-31
AKBTY,2022-12-31
CRHKY,2022-12-31
0GWB.IL,2022-12-31
GIGM,2022-12-31
ASELS.IS,2022-12-31
HNHPF,2022-12-31
UBER,2022-12-31
PAGS,2022-12-31
SQ,2022-12-31
6004.SR,2022-12-31
CTM.ST,2022-12-31
NYCB,2022-12-31
0K9W.IL,2022-12-31
GLMD,2022-12-31
FTNT,2022-12-31
ON,2022-12-31
AHI,2022-06-30
BGTG.JK,2022-12-31
DSDVY,2022-12-31
OPK,2022-12-31
CSTE,2022-12-31
UIE.CO,2022-12-31
ZAM.L,2022-09-30
GILT,2022-12-31
FRO,2022-12-31
AHCS.QA,2022-12-31
SYAXF,2022-06-30
SRE.L,2023-03-31
THQQF,2023-03-31
UPP.AE,2022-12-31
BDNNY,2022-12-31
SMWB,2022-12-31
TWN,2022-08-31
FESTI.IC,2022-12-31
AAZ.L,2022-12-31
HGKGY,2022-12-31
ELEZY,2022-12-31
YUEIY,2022-12-31
VBLT,2022-12-31
NEXA,2022-12-31
CEE.TO,2022-12-31
MLEC,2022-06-30
SHEL,2022-12-31
NVZMY,2022-12-31
DLO,2022-12-31
1020.SR,2022-12-31
DIB.AE,2022-12-31
LOW,2023-02-03
TLRY,2023-05-31
EVO,2022-12-31
KLIC,2022-10-01
SAHOL.IS,2022-12-31
GCP.L,2022-09-30
LGRDY,2022-12-31
VTR,2022-12-31
TNP,2022-12-31
PRD.L,2022-12-31
0975.HK,2022-12-31
TAOP,2022-12-31
GTX,2022-12-31
GGR,2022-12-31
BRIM.IC,2022-12-31
SIEGY,2022-09-30
REPYY,2022-12-31
GWCS.QA,2021-12-31
LLKKF,2022-06-30
PAA,2022-12-31
T,2022-12-31
MURGF,2022-12-31
LEDS,2022-08-31
SCMWY,2022-12-31
NTCT,2023-03-31
DIC.AE,2022-12-31
CSSV,2015-09-30
WVE,2022-12-31
CSIQ,2022-12-31
VRDR,2022-06-30
ANYYY,2022-12-31
KMD.AX,2023-07-31
YNDX,2022-12-31
CODYY,2022-12-31
EUTLF,2022-06-30
PBCRY,2022-12-31
CXOXF,2022-06-30
STAR.L,2022-12-31
SWVL,2021-12-31
AKHI.QA,2022-12-31
GRLA.CO,2022-12-31
GJNSY,2022-12-31
HAGA.IC,2023-02-28
NU,2022-12-31
ASAZY,2022-12-31
NVT,2022-12-31
ROIV,2023-03-31
CVHSY,2022-12-31
PFC.L,2022-12-31
CHEK,2022-12-31
CMCL,2022-12-31
LBTYA,2022-12-31
ARTO.JK,2022-12-31
KVIKA.IC,2022-12-31
MYNZ,2022-12-31
HOKCY,2022-12-31
ENLAY,2022-12-31
BEP,2022-12-31
LSCC,2022-12-31
HRUM.JK,2022-12-31
ADDYY,2022-12-31
G,2022-12-31
WRTBY,2022-12-31
UCBJY,2022-12-31
EFGD.IL,2022-12-31
WRDLY,2022-12-31
NEON,2022-12-31
XYIGF,2022-12-31
OCS,2022-12-31
MDXH,2022-12-31
BNOX,2022-06-30
MAR,2022-12-31
GAMB,2022-12-31
LYFT,2022-12-31
LOGI,2023-03-31
KFH.KW,2022-12-31
QNBK.QA,2022-12-31
SITIY,2022-12-31
PLAY.IC,2022-12-31
SDXAY,2022-08-31
